freq,ch1,ch2,tran,errtrans,fase 
1.083121352757820887e+03,1.079999923709999976e+01,5.840000152600000050e+00,1.849314889536737505e+00,1.492252755248197615e-01,5.759999751999999695e+00
1.188724347530876912e+03,1.096000003810000045e+01,6.239999771099999926e+00,1.756410326945885281e+00,1.400303012162810168e-01,6.239999771099999926e+00
1.304623503926675539e+03,1.103999996189999955e+01,6.639999866500000181e+00,1.662650630099978599e+00,1.312101443927420619e-01,6.719999790200000156e+00
1.431822684992752329e+03,1.127999973300000036e+01,7.199999809300000386e+00,1.566666671078240869e+00,1.219593329341853299e-01,7.199999809300000386e+00
1.571423629184498168e+03,1.143999958040000031e+01,7.679999828299999720e+00,1.489583312000189563e+00,1.147996654648973519e-01,7.679999828299999720e+00
1.724635493096605614e+03,1.159999942780000026e+01,8.159999847399999950e+00,1.421568583913157546e+00,1.085694767149015666e-01,8.159999847399999950e+00
1.892785324599032037e+03,1.176000022889999919e+01,8.639999389599999802e+00,1.361111233764154660e+00,1.031001471610372144e-01,8.639999389599999802e+00
2.077329557090810340e+03,1.192000007629999914e+01,9.119999885600000411e+00,1.307017568620921999e+00,9.826124673472888538e-02,9.119999885600000411e+00
2.279866624429402691e+03,1.215999984739999995e+01,9.599999427800000262e+00,1.266666726269447985e+00,9.451852368541717453e-02,9.599999427800000262e+00
2.502150805800089529e+03,1.239999961850000076e+01,1.007999992370000086e+01,1.230158701623125905e+00,9.116214206707468071e-02,1.007999992370000086e+01
2.746107420443055162e+03,1.255999946590000071e+01,1.055999946590000071e+01,1.189393948973040516e+00,8.762473363852689434e-02,1.047999954219999985e+01
3.013849503847572578e+03,1.271999931340000067e+01,1.096000003810000045e+01,1.160583874925342540e+00,8.509648853827532500e-02,1.096000003810000045e+01
3.307696109854569386e+03,1.287999916080000062e+01,1.135999965669999945e+01,1.133802777291768926e+00,8.276030445699965321e-02,1.135999965669999945e+01
3.630192397191576219e+03,1.311999988560000041e+01,1.167999935149999935e+01,1.123287723805829641e+00,8.165517265273582181e-02,1.167999935149999935e+01
3.984131674420031231e+03,1.319999980929999950e+01,1.207999992370000086e+01,1.092715222903490879e+00,7.915020876520770243e-02,1.207999992370000086e+01
4.372579594237769015e+03,1.335999965669999945e+01,1.231999969479999990e+01,1.084415583414256146e+00,7.833470604541378779e-02,1.231999969479999990e+01
4.798900706696077577e+03,1.351999950409999940e+01,1.263999938959999980e+01,1.069620265585143226e+00,7.701923855566869537e-02,1.263999938959999980e+01
5.266787601322703267e+03,1.367999935149999935e+01,1.287999916080000062e+01,1.062111820095049453e+00,7.628371781885928682e-02,1.287999916080000062e+01
5.780292890565798189e+03,1.384000015260000005e+01,1.311999988560000041e+01,1.054878069609607616e+00,7.557674734926382587e-02,1.311999988560000041e+01
6.343864311584249663e+03,1.400000000000000000e+01,1.327999973300000036e+01,1.054216888665354679e+00,7.538517095024405146e-02,1.327999973300000036e+01
6.962383250419175056e+03,1.400000000000000000e+01,1.343999958040000031e+01,1.041666699187749012e+00,7.441449053044953132e-02,1.343999958040000031e+01
7.641207022224572029e+03,1.400000000000000000e+01,1.359999942780000026e+01,1.029411808016870378e+00,7.346835261827515395e-02,1.359999942780000026e+01
8.386215273768344559e+03,1.415999984739999995e+01,1.359999942780000026e+01,1.041176503173617318e+00,7.424208147676722436e-02,1.368000030520000010e+01
9.203860910119765322e+03,1.423999977110000081e+01,1.376000022889999919e+01,1.034883687079587666e+00,7.369176525822795920e-02,1.384000015260000005e+01
1.010122598662624478e+04,1.415999984739999995e+01,1.384000015260000005e+01,1.023121364976277370e+00,7.285232407623344619e-02,1.384000015260000005e+01
1.108608305028866562e+04,1.431999969479999990e+01,1.392000007629999914e+01,1.028735604619789745e+00,7.315492055428697571e-02,1.400000000000000000e+01
1.216696246184531083e+04,1.431999969479999990e+01,1.392000007629999914e+01,1.028735604619789745e+00,7.315492055428697571e-02,1.407999992370000086e+01
1.335322628167559196e+04,1.431999969479999990e+01,1.407999992370000086e+01,1.017045438380721922e+00,7.225849640818622632e-02,1.407999992370000086e+01
1.465514935948837410e+04,1.431999969479999990e+01,1.407999992370000086e+01,1.017045438380721922e+00,7.225849640818622632e-02,1.407999992370000086e+01
1.608400833015488388e+04,1.431999969479999990e+01,1.407999992370000086e+01,1.017045438380721922e+00,7.225849640818622632e-02,1.407999992370000086e+01
1.765217928652499177e+04,1.439999961850000076e+01,1.423999977110000081e+01,1.011235944520499030e+00,7.175168463361145110e-02,1.415999984739999995e+01
1.937324497522324600e+04,1.431999969479999990e+01,1.415999984739999995e+01,1.011299424373184541e+00,7.181842988051796717e-02,1.415999984739999995e+01
2.126211244390211868e+04,1.439999961850000076e+01,1.407999992370000086e+01,1.022727251174296192e+00,7.263105520267436332e-02,1.415999984739999995e+01
2.333514215895708912e+04,1.439999961850000076e+01,1.423999977110000081e+01,1.011235944520499030e+00,7.175168463361145110e-02,1.423999977110000081e+01
2.561028971206038841e+04,1.431999969479999990e+01,1.415999984739999995e+01,1.011299424373184541e+00,7.181842988051796717e-02,1.415999984739999995e+01
2.810726134290581103e+04,1.431999969479999990e+01,1.423999977110000081e+01,1.005617972260249404e+00,7.138366351131132659e-02,1.423999977110000081e+01
3.084768462522978007e+04,1.447999954219999985e+01,1.423999977110000081e+01,1.016853916780748657e+00,7.211970575591157562e-02,1.423999977110000081e+01
3.385529579450882738e+04,1.439999961850000076e+01,1.415999984739999995e+01,1.016949136559776701e+00,7.218870602174716489e-02,1.415999984739999995e+01
3.715614533987571485e+04,1.431999969479999990e+01,1.415999984739999995e+01,1.011299424373184541e+00,7.181842988051796717e-02,1.415999984739999995e+01
4.077882364099410916e+04,1.439999961850000076e+01,1.415999984739999995e+01,1.016949136559776701e+00,7.218870602174716489e-02,1.415999984739999995e+01
4.475470860425011779e+04,1.439999961850000076e+01,1.415999984739999995e+01,1.016949136559776701e+00,7.218870602174716489e-02,1.407999992370000086e+01
4.911823744316598459e+04,1.431999969479999990e+01,1.415999984739999995e+01,1.011299424373184541e+00,7.181842988051796717e-02,1.407999992370000086e+01
5.390720495706939982e+04,1.447999954219999985e+01,1.415999984739999995e+01,1.022598848746368860e+00,7.255898216297634873e-02,1.423999977110000081e+01
5.916309089156497794e+04,1.431999969479999990e+01,1.415999984739999995e+01,1.011299424373184541e+00,7.181842988051796717e-02,1.423999977110000081e+01
6.493141921624593670e+04,1.431999969479999990e+01,1.415999984739999995e+01,1.011299424373184541e+00,7.181842988051796717e-02,1.415999984739999995e+01
7.126215243154192285e+04,1.431999969479999990e+01,1.423999977110000081e+01,1.005617972260249404e+00,7.138366351131132659e-02,1.415999984739999995e+01
7.821012431999544788e+04,1.431999969479999990e+01,1.407999992370000086e+01,1.017045438380721922e+00,7.225849640818622632e-02,1.415999984739999995e+01
8.583551489025332558e+04,1.431999969479999990e+01,1.415999984739999995e+01,1.011299424373184541e+00,7.181842988051796717e-02,1.415999984739999995e+01
9.420437162751391588e+04,1.431999969479999990e+01,1.407999992370000086e+01,1.017045438380721922e+00,7.225849640818622632e-02,1.407999992370000086e+01
1.033891815652456571e+05,1.439999961850000076e+01,1.415999984739999995e+01,1.016949136559776701e+00,7.218870602174716489e-02,1.423999977110000081e+01
1.134694991331943893e+05,1.431999969479999990e+01,1.423999977110000081e+01,1.005617972260249404e+00,7.138366351131132659e-02,1.415999984739999995e+01
1.245326352197963133e+05,1.431999969479999990e+01,1.415999984739999995e+01,1.011299424373184541e+00,7.181842988051796717e-02,1.423999977110000081e+01
1.366744134173236089e+05,1.439999961850000076e+01,1.407999992370000086e+01,1.022727251174296192e+00,7.263105520267436332e-02,1.423999977110000081e+01
1.500000000000000000e+05,1.439999961850000076e+01,1.407999992370000086e+01,1.022727251174296192e+00,7.263105520267436332e-02,1.415999984739999995e+01
